Year ,Month,Day,MaxTempC,MinTempC,
2017,6,7,30.55555556,7.777777778,
2017,6,8,,,
2017,6,9,27.77777778,6.666666667,
2017,6,10,23.33333333,5.555555556,
2017,6,11,15.55555556,1.666666667,
2017,6,12,22.22222222,5,
2017,6,13,19.44444444,8.888888889,
2017,6,14,13.33333333,3.888888889,
2017,6,15,23.88888889,8.333333333,
2017,6,16,,,
2017,6,17,19.44444444,8.333333333,
2017,6,18,23.88888889,11.11111111,
2017,6,19,23.88888889,7.777777778,
2017,6,20,33.33333333,10.55555556,
2017,6,21,34.44444444,13.33333333,
2017,6,22,29.44444444,8.888888889,
2017,6,23,,,
2017,6,24,28.88888889,7.222222222,
2017,6,25,31.11111111,8.333333333,
2017,6,26,35,10,
2017,6,27,33.33333333,11.66666667,
2017,6,28,25.55555556,10,
2017,6,29,26.66666667,11.11111111,
2017,6,30,25.55555556,7.777777778,
2017,7,1,30.55555556,10,
2017,7,2,32.22222222,11.11111111,
2017,7,3,33.33333333,11.11111111,
2017,7,4,33.88888889,10.55555556,
2017,7,5,34.44444444,11.66666667,
2017,7,6,37.77777778,12.22222222,
2017,7,7,36.66666667,12.77777778,
2017,7,8,36.66666667,13.88888889,
2017,7,9,37.22222222,15,
2017,7,10,33.88888889,12.77777778,
2017,7,11,32.77777778,13.88888889,
2017,7,12,31.66666667,10.55555556,
2017,7,13,34.44444444,10.55555556,
2017,7,14,37.77777778,11.66666667,
2017,7,15,35.55555556,12.77777778,
2017,7,16,33.33333333,13.33333333,
2017,7,17,33.33333333,10.55555556,
2017,7,18,32.77777778,10,
2017,7,19,35,11.66666667,
2017,7,20,35.55555556,9.444444444,
2017,7,21,33.33333333,10,
2017,7,22,32.77777778,10,
2017,7,23,34.44444444,11.66666667,
2017,7,24,36.66666667,12.77777778,
2017,7,25,33.33333333,13.88888889,
2017,7,26,31.11111111,11.11111111,
2017,7,27,26.11111111,11.66666667,
2017,7,28,29.44444444,11.11111111,
2017,7,29,30.55555556,10.55555556,
2017,7,30,33.88888889,11.11111111,
2017,7,31,36.11111111,11.66666667,
2017,8,1,36.11111111,11.11111111,
2017,8,2,35.55555556,11.11111111,
2017,8,3,36.11111111,11.66666667,
2017,8,4,36.11111111,11.66666667,
2017,8,5,35,13.33333333,
2017,8,6,31.66666667,11.11111111,
2017,8,7,31.11111111,10.55555556,
2017,8,8,32.22222222,12.22222222,
2017,8,9,33.33333333,11.66666667,
2017,8,10,31.66666667,10.55555556,
2017,8,11,32.22222222,11.11111111,
2017,8,12,29.44444444,10,
2017,8,13,32.22222222,10.55555556,
2017,8,14,21.66666667,12.77777778,
2017,8,15,27.22222222,8.333333333,
2017,8,16,30.55555556,9.444444444,
2017,8,17,36.66666667,10,
2017,8,18,33.88888889,10.55555556,
2017,8,19,31.11111111,10.55555556,
2017,8,20,28.88888889,9.444444444,
2017,8,21,31.11111111,8.888888889,
2017,8,22,33.33333333,8.888888889,
2017,8,23,30,10.55555556,
2017,8,24,28.88888889,11.11111111,
2017,8,25,31.66666667,10.55555556,
2017,8,26,33.33333333,10.55555556,
2017,8,27,35,10,
2017,8,28,33.33333333,10.55555556,
2017,8,29,34.44444444,11.11111111,
2017,8,30,30,11.66666667,
2017,8,31,32.22222222,10.55555556,
2017,9,1,31.11111111,9.444444444,
2017,9,2,36.66666667,10.55555556,
2017,9,3,37.77777778,10.55555556,
2017,9,4,,,
2017,9,5,,,
2017,9,6,28.33333333,8.888888889,
2017,9,7,28.88888889,9.444444444,
2017,9,8,26.66666667,8.888888889,
2017,9,9,30.55555556,9.444444444,
2017,9,10,28.33333333,10.55555556,
2017,9,11,31.11111111,10,
2017,9,12,32.22222222,9.444444444,
2017,9,13,32.22222222,10,
2017,9,14,22.77777778,8.888888889,
2017,9,15,11.66666667,4.444444444,
2017,9,16,16.66666667,4.444444444,
2017,9,17,22.22222222,5.555555556,
2017,9,18,15,3.888888889,
2017,9,19,10,3.333333333,
2017,9,20,9.444444444,2.777777778,
2017,9,21,8.888888889,3.888888889,
2017,9,22,10,3.888888889,
2017,9,23,11.11111111,4.444444444,
2017,9,24,11.11111111,0.555555556,
2017,9,25,10.55555556,0.555555556,
2017,9,26,15,5.555555556,
2017,9,27,18.88888889,2.222222222,
2017,9,28,22.22222222,1.666666667,
2017,9,29,22.77777778,2.222222222,
2017,9,30,23.88888889,2.222222222,
2017,10,1,12.77777778,2.222222222,
2017,10,2,8.333333333,0.555555556,
2017,10,3,11.11111111,0.555555556,
2017,10,4,13.33333333,-1.666666667,
2017,10,5,6.666666667,-1.666666667,
2017,10,6,12.77777778,1.666666667,
2017,10,7,18.33333333,1.666666667,
2017,10,8,16.66666667,2.222222222,
2017,10,9,9.444444444,-2.222222222,
2017,10,10,12.22222222,-2.222222222,
2017,10,11,16.66666667,-0.555555556,
2017,10,12,11.66666667,0,
2017,10,13,8.888888889,-0.555555556,
2017,10,14,9.444444444,-2.777777778,
2017,10,15,12.22222222,-3.333333333,
