"","SpringName","Water_Year","snowmelt_timing"
"483","Cougar_39","2014",101.58
"484","Cougar_39","2015",103.64
"485","Cougar_39","2016",118.48
"486","Drinking Bull Snake","2014",102.306666666667
"487","Drinking Bull Snake","2015",93.2133333333333
"488","Drinking Bull Snake","2016",116.053333333333
"489","Dunce_4","2014",106.34
"490","Dunce_4","2015",89.12
"491","Dunce_4","2016",117.426666666667
"492","Dunce_9","2014",101.58
"493","Dunce_9","2015",81.08
"494","Dunce_9","2016",122.253333333333
"495","East Pioneer","2014",108.72
"496","East Pioneer","2015",100.493333333333
"497","East Pioneer","2016",105.36
"498","Equisetum","2014",111.093333333333
"499","Equisetum","2015",93.96
"500","Equisetum","2016",115.013333333333
"501","Game Knob","2014",111.1
"502","Game Knob","2015",98.0666666666667
"503","Game Knob","2016",118.48
"504","Goat Ridge","2014",125.453333333333
"505","Goat Ridge","2015",101.22
"506","Goat Ridge","2016",112.6
"507","Goat_8","2014",108.7
"508","Goat_8","2015",84.28
"509","Goat_8","2016",115.013333333333
"510","Gun Shot","2014",101.58
"511","Gun Shot","2015",93.96
"512","Gun Shot","2016",107.773333333333
"513","Heleport","2014",118.24
"514","Heleport","2015",102.92
"515","Heleport","2016",103.64
"516","Hole","2014",95.1866666666667
"517","Hole","2015",73.8
"518","Hole","2016",93.0466666666667
"519","Lobauer","2014",96.82
"520","Lobauer","2015",84.28
"521","Lobauer","2016",119.84
"522","Meadow","2014",120.62
"523","Meadow","2015",93.96
"524","Meadow","2016",105.36
"525","Mountain Alder","2014",106.34
"526","Mountain Alder","2015",107.773333333333
"527","Mountain Alder","2016",107.773333333333
"528","Nervous Grouse","2014",95.1866666666667
"529","Nervous Grouse","2015",73.8
"530","Nervous Grouse","2016",93.0466666666667
"531","North Pioneer","2014",111.1
"532","North Pioneer","2015",102.92
"533","North Pioneer","2016",102.673333333333
"534","Picea","2014",187.26
"535","Picea","2015",149.62
"536","Picea","2016",171.866666666667
"537","Raspberry","2014",99.9333333333333
"538","Raspberry","2015",78.6533333333333
"539","Raspberry","2016",117.113333333333
"540","Salix","2014",113.48
"541","Salix","2015",100.493333333333
"542","Salix","2016",105.36
"543","Sedge","2014",175.36
"544","Sedge","2015",106.06
"545","Sedge","2016",125.76
"546","Snail","2014",102.306666666667
"547","Snail","2015",93.2133333333333
"548","Snail","2016",116.053333333333
"549","Soldier Bar","2014",101.58
"550","Soldier Bar","2015",85.9333333333333
"551","Soldier Bar","2016",110.186666666667
"552","West Goat","2014",98.9333333333333
"553","West Goat","2015",81.86
"554","West Goat","2016",119.84
"555","Wolf Skat","2014",101.58
"556","Wolf Skat","2015",89.12
"557","Wolf Skat","2016",107.486666666667
"558","Wolf Skull","2014",101.58
"559","Wolf Skull","2015",106.06
"560","Wolf Skull","2016",117.426666666667
